Stim Name1	Stim Name2	StimNum1	StimNum2
german_yael	hazan_oren	2	28
shafir_stav	liberman_avigdor	3	29
herzog_yitzhak	hazan_oren	1	28
german_yael	Smotrich_Bezalel	2	30
shafir_stav	zuabi_hanin	3	27
herzog_yitzhak	zuabi_hanin	1	27
meir_golda	zuabi_hanin	4	27
german_yael	hazan_oren	2	28
shafir_stav	liberman_avigdor	3	29
herzog_yitzhak	zuabi_hanin	1	27
meir_golda	Smotrich_Bezalel	4	30
herzog_yitzhak	hazan_oren	1	28
meir_golda	Smotrich_Bezalel	4	30
herzog_yitzhak	zuabi_hanin	1	27
meir_golda	liberman_avigdor	4	29
meir_golda	zuabi_hanin	4	27
herzog_yitzhak	Smotrich_Bezalel	1	30
meir_golda	hazan_oren	4	28
shafir_stav	liberman_avigdor	3	29
herzog_yitzhak	liberman_avigdor	1	29
shafir_stav	zuabi_hanin	3	27
german_yael	hazan_oren	2	28
shafir_stav	hazan_oren	3	28
german_yael	zuabi_hanin	2	27
german_yael	liberman_avigdor	2	29
meir_golda	liberman_avigdor	4	29
herzog_yitzhak	liberman_avigdor	1	29
meir_golda	liberman_avigdor	4	29
meir_golda	Smotrich_Bezalel	4	30
herzog_yitzhak	zuabi_hanin	1	27
german_yael	liberman_avigdor	2	29
meir_golda	hazan_oren	4	28
shafir_stav	hazan_oren	3	28
meir_golda	Smotrich_Bezalel	4	30
herzog_yitzhak	liberman_avigdor	1	29
german_yael	liberman_avigdor	2	29
herzog_yitzhak	Smotrich_Bezalel	1	30
meir_golda	hazan_oren	4	28
herzog_yitzhak	Smotrich_Bezalel	1	30
herzog_yitzhak	liberman_avigdor	1	29
german_yael	zuabi_hanin	2	27
shafir_stav	hazan_oren	3	28
shafir_stav	zuabi_hanin	3	27
shafir_stav	Smotrich_Bezalel	3	30
german_yael	Smotrich_Bezalel	2	30
german_yael	zuabi_hanin	2	27
meir_golda	zuabi_hanin	4	27
shafir_stav	liberman_avigdor	3	29
herzog_yitzhak	Smotrich_Bezalel	1	30
meir_golda	zuabi_hanin	4	27
meir_golda	liberman_avigdor	4	29
shafir_stav	hazan_oren	3	28
shafir_stav	Smotrich_Bezalel	3	30
herzog_yitzhak	hazan_oren	1	28
german_yael	Smotrich_Bezalel	2	30
german_yael	liberman_avigdor	2	29
herzog_yitzhak	hazan_oren	1	28
german_yael	hazan_oren	2	28
shafir_stav	zuabi_hanin	3	27
german_yael	Smotrich_Bezalel	2	30
shafir_stav	Smotrich_Bezalel	3	30
meir_golda	hazan_oren	4	28
shafir_stav	Smotrich_Bezalel	3	30
german_yael	zuabi_hanin	2	27
