StimA	StimB	dir	Val_A	Aro_A	Val_B	Aro_B
Demo_girl	Demo_Sushi	pairsTom/	0	0	0	0
Demo_Ramen_Soup	Demo_Sushi	pairsTom/	0	0	0	0
Demo_Sushi	Demo_girl	pairsTom/	0	0	0	0
3007_Gun_6210	4004_Elderly_Woman_2590	pairsTom/	0	1	0	0
2007_Kids_2388	4002_Elderly_Man_2490	pairsTom/	1	0	0	0
1007_Surfers_8206	3002_Snake_1120	pairsTom/	1	1	0	1
1004_Sky_Divers_5621	3003_PitBull_1300	pairsTom/	1	1	0	1
1001_women_4220	3003_PitBull_1300	pairsTom/	1	1	0	1
2001_Ferret_1410	4002_Elderly_Man_2490	pairsTom/	1	0	0	0
1006_Skier_8034	3002_Snake_1120	pairsTom/	1	1	0	1
1002_Couple_4608	2005_Mother_2170	pairsTom/	1	1	1	0
1008_Rafting_8370	2002_Dog_1500	pairsTom/	1	1	1	0
1006_Skier_8034	3001_Snake_1114	pairsTom/	1	1	0	1
2003_Bunnies_1750	4007_Garbage_7023	pairsTom/	1	0	0	0
1008_Rafting_8370	2008_Mother_2540	pairsTom/	1	1	1	0
1004_Sky_Divers_5621	3006_Shark_1932	pairsTom/	1	1	0	1
1007_Surfers_8206	3006_Shark_1932	pairsTom/	1	1	0	1
3004_Bear_1321	4006_Broken_Lightbulb_7013	pairsTom/	0	1	0	0
1004_Sky_Divers_5621	3002_Snake_1120	pairsTom/	1	1	0	1
2006_Kids_2387	4002_Elderly_Man_2490	pairsTom/	1	0	0	0
2001_Ferret_1410	4008_Cemetery_9000	pairsTom/	1	0	0	0
3008_Crime_6510	4003_Sick_Man_2491	pairsTom/	0	1	0	0
3007_Gun_6210	4003_Sick_Man_2491	pairsTom/	0	1	0	0
1006_Skier_8034	3003_PitBull_1300	pairsTom/	1	1	0	1
1001_women_4220	3006_Shark_1932	pairsTom/	1	1	0	1
1005_Astronaut_5470	2004_Kid_2035	pairsTom/	1	1	1	0
3008_Crime_6510	4001_Sad_Family_2312	pairsTom/	0	1	0	0
2003_Bunnies_1750	4008_Cemetery_9000	pairsTom/	1	0	0	0
1006_Skier_8034	3006_Shark_1932	pairsTom/	1	1	0	1
2003_Bunnies_1750	4005_Jail_2722	pairsTom/	1	0	0	0
3005_Shark_1930	4004_Elderly_Woman_2590	pairsTom/	0	1	0	0
3004_Bear_1321	4003_Sick_Man_2491	pairsTom/	0	1	0	0
1002_Couple_4608	2004_Kid_2035	pairsTom/	1	1	1	0
3004_Bear_1321	4001_Sad_Family_2312	pairsTom/	0	1	0	0
3007_Gun_6210	4006_Broken_Lightbulb_7013	pairsTom/	0	1	0	0
1008_Rafting_8370	2005_Mother_2170	pairsTom/	1	1	1	0
2006_Kids_2387	4008_Cemetery_9000	pairsTom/	1	0	0	0
1001_women_4220	3001_Snake_1114	pairsTom/	1	1	0	1
1004_Sky_Divers_5621	3001_Snake_1114	pairsTom/	1	1	0	1
1003_Couple_4687	2002_Dog_1500	pairsTom/	1	1	1	0
3005_Shark_1930	4001_Sad_Family_2312	pairsTom/	0	1	0	0
2006_Kids_2387	4005_Jail_2722	pairsTom/	1	0	0	0
1007_Surfers_8206	3001_Snake_1114	pairsTom/	1	1	0	1
1003_Couple_4687	2008_Mother_2540	pairsTom/	1	1	1	0
1002_Couple_4608	2008_Mother_2540	pairsTom/	1	1	1	0
1005_Astronaut_5470	2008_Mother_2540	pairsTom/	1	1	1	0
3008_Crime_6510	4006_Broken_Lightbulb_7013	pairsTom/	0	1	0	0
3007_Gun_6210	4001_Sad_Family_2312	pairsTom/	0	1	0	0
2007_Kids_2388	4005_Jail_2722	pairsTom/	1	0	0	0
1001_women_4220	3002_Snake_1120	pairsTom/	1	1	0	1
2006_Kids_2387	4007_Garbage_7023	pairsTom/	1	0	0	0
2003_Bunnies_1750	4002_Elderly_Man_2490	pairsTom/	1	0	0	0
3008_Crime_6510	4004_Elderly_Woman_2590	pairsTom/	0	1	0	0
2001_Ferret_1410	4007_Garbage_7023	pairsTom/	1	0	0	0
1002_Couple_4608	2002_Dog_1500	pairsTom/	1	1	1	0
1003_Couple_4687	2005_Mother_2170	pairsTom/	1	1	1	0
2007_Kids_2388	4007_Garbage_7023	pairsTom/	1	0	0	0
3004_Bear_1321	4004_Elderly_Woman_2590	pairsTom/	0	1	0	0
1003_Couple_4687	2004_Kid_2035	pairsTom/	1	1	1	0
1008_Rafting_8370	2004_Kid_2035	pairsTom/	1	1	1	0
2007_Kids_2388	4008_Cemetery_9000	pairsTom/	1	0	0	0
1005_Astronaut_5470	2005_Mother_2170	pairsTom/	1	1	1	0
3005_Shark_1930	4003_Sick_Man_2491	pairsTom/	0	1	0	0
2001_Ferret_1410	4005_Jail_2722	pairsTom/	1	0	0	0
1007_Surfers_8206	3003_PitBull_1300	pairsTom/	1	1	0	1
1005_Astronaut_5470	2002_Dog_1500	pairsTom/	1	1	1	0
3005_Shark_1930	4006_Broken_Lightbulb_7013	pairsTom/	0	1	0	0
