TrialType	Measurement	Mean_Stim1	Mean_Stim2	Mean_difference	CI_lower	CI_upper	p	p_FDR_corrected
High Arousal: Different Value	Predominance score	0.417236758385411	0.582763241614589	-0.0827632416145889	-0.104739021581802	-0.0583070861119298	1e-05	1.33333333333333e-05
High Arousal: Different Value	Average dominance duration	6.64493477645143	9.72683470593525	-3.08189992948381	-4.02892315576188	-2.14913890781465	1e-05	1.33333333333333e-05
High Arousal: Different Value	Percepts after fusion	2.44580572613661	2.82890338827839	-0.38309766214178	-0.508308720433382	-0.261827410840189	1e-05	1.33333333333333e-05
High Arousal: Different Value	Initial percept	0.422551712992889	0.577448287007111	-0.0774482870071105	-0.106763789418148	-0.0448132100724684	2e-05	2e-05
Low Arousal: Different Value	Predominance score	0.511957821516055	0.488042178483944	0.0119578215160555	-0.00999623650893203	0.034036861978307	0.2963	0.395066666666667
Low Arousal: Different Value	Average dominance duration	7.68036066533277	7.27212060615563	0.408240059177146	-0.313685575167319	1.16732145681362	0.29038	0.395066666666667
Low Arousal: Different Value	Percepts after fusion	2.86329185520362	2.83460730446025	0.0286845507433743	-0.102562551933382	0.161743197282455	0.67714	0.67714
Low Arousal: Different Value	Initial percept	0.528211188321483	0.471788811678518	0.0282111883214824	-0.0045080040552888	0.0635302197802198	0.11164	0.395066666666667
High Value: Different Arousal	Predominance score	0.342602348201472	0.657397651798528	-0.157397651798528	-0.177790851236467	-0.135394299449893	1e-05	1e-05
High Value: Different Arousal	Average dominance duration	5.07867685969611	11.0569218959464	-5.97824503625034	-6.9091816498949	-5.1162392446581	1e-05	1e-05
High Value: Different Arousal	Percepts after fusion	2.29371633268692	2.98830128205128	-0.694584949364361	-0.848311920922215	-0.553566204137465	1e-05	1e-05
High Value: Different Arousal	Initial percept	0.325118508942038	0.674881491057962	-0.174881491057962	-0.2066075468649	-0.138199928481345	1e-05	1e-05
Low Value: Different Arousal	Predominance score	0.4379862771117	0.5620137228883	-0.0620137228883003	-0.0857173093940498	-0.0378666822743126	2e-05	2.66666666666667e-05
Low Value: Different Arousal	Average dominance duration	6.20992124793427	8.43762672930443	-2.22770548137016	-3.22661565140686	-1.25794521750782	2e-05	2.66666666666667e-05
Low Value: Different Arousal	Percepts after fusion	2.51769755979315	2.84768032212885	-0.329982762335704	-0.457244769469695	-0.202163112703424	1e-05	2.66666666666667e-05
Low Value: Different Arousal	Initial percept	0.419283290239173	0.580716709760828	-0.0807167097608274	-0.115854480852915	-0.044298777203189	7e-05	7e-05
