TrialType	Measurement	Mean_Stim1	Mean_Stim2	Mean_difference	CI_lower	CI_upper	p	p_FDR_corrected
High Arousal: Different Value	Predominance score	0.481876414551955	0.518123585448046	-0.0181235854480454	-0.0496511535302571	0.0216245274183805	0.3251	0.433466666666667
High Arousal: Different Value	Average dominance duration	4.67639070933352	4.46221899577793	0.214171713555596	-0.542992923452892	1.64516024550412	0.71108	0.71108
High Arousal: Different Value	Percepts after fusion	2.35383382642998	2.53227669766131	-0.178442871231333	-0.362319784818997	-0.00460826753454155	0.05793	0.23172
High Arousal: Different Value	Initial percept	0.465254296985066	0.534745703014934	-0.0347457030149338	-0.0789421315863623	0.0119431880646717	0.14258	0.28516
Low Arousal: Different Value	Predominance score	0.547355409774402	0.452644590225598	0.047355409774402	0.0177592428214324	0.0767867902948718	0.00305	0.0061
Low Arousal: Different Value	Average dominance duration	3.7857515611555	3.25986914323924	0.525882417916257	0.0442741195298071	1.05846419389783	0.04916	0.04916
Low Arousal: Different Value	Percepts after fusion	2.67430085939701	2.38620209918287	0.288098760214145	0.158357512869994	0.419595327096673	0.00012	0.00048
Low Arousal: Different Value	Initial percept	0.554282016060862	0.445717983939138	0.0542820160608622	0.0111780719392003	0.0926610758874256	0.01243	0.0165733333333333
High Value: Different Arousal	Predominance score	0.495170343594435	0.504829656405565	-0.00482965640556546	-0.0356466201908888	0.0245686000027448	0.75358	0.75358
High Value: Different Arousal	Average dominance duration	3.77427607914096	3.65438942708454	0.119886652056413	-0.471427365316408	0.762425242239912	0.71104	0.75358
High Value: Different Arousal	Percepts after fusion	2.46889880952381	2.53203983516484	-0.0631410256410257	-0.231043956043956	0.0997304469710441	0.45984	0.75358
High Value: Different Arousal	Initial percept	0.479681776556777	0.520318223443223	-0.0203182234432234	-0.0685668498168498	0.024095695970696	0.3966	0.75358
Low Value: Different Arousal	Predominance score	0.508658938282204	0.491341061717796	0.00865893828220403	-0.0248091351069432	0.0413473098636417	0.61511	0.820146666666667
Low Value: Different Arousal	Average dominance duration	4.0860804210645	3.63673707548155	0.449343345582951	-0.0738260388838605	1.15724684382389	0.15865	0.39878
Low Value: Different Arousal	Percepts after fusion	2.67894741476472	2.5629948577064	0.115952557058326	-0.0572582065370527	0.28840808686951	0.19939	0.39878
Low Value: Different Arousal	Initial percept	0.498416807551423	0.501583192448577	-0.00158319244857706	-0.048385715792196	0.0444989860570457	0.94688	0.94688
